id,funded_amnt,term,int_rate,grade,sub_grade,annual_inc,dti,home_ownership,addr_state,purpose,loan_status,delinq_2yrs,pub_rec,pub_rec_bankruptcies,revol_util,open_acc,total_acc,verification_status,issue_d,social_security_number,ssn,ssnumber,ssnumber1,drivers_license,dl,member_id,emp_title,title,c_desc,zip_code,c_url
429,10845.49, 36 months,12.96%,B,B5,69001.36,1.88,RENT,CA,car,Fully Paid,2,3,1,39.2%,13,17,Source Verified,Sep-16,100000428,100000428,100000428,900000428,DL500428,DL500428,MEMBER-429,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,635,https://example.com/loan/429
430,6995.72, 60 months,22.46%,G,G1,92492.62,23.08,NONE,PA,credit_card,Fully Paid,0,2,2,87.74%,5,4,Source Verified,Dec-09,100000429,100000429,100000429,900000429,DL500429,DL500429,MEMBER-430,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,821,https://example.com/loan/430
431,31602.03, 36 months,7.12%,B,B1,136623.5,14.81,OWN,NC,moving,Current,4,1,0,44.67%,1,4,Source Verified,Jan-12,100000430,100000430,100000430,900000430,DL500430,DL500430,MEMBER-431,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,715,https://example.com/loan/431
432,30884.48, 60 months,13.49%,F,F2,105476.46,29.19,RENT,PA,renewable_energy,Fully Paid,2,1,NA,79.0%,11,30,Not Verified,Sep-15,100000431,100000431,100000431,900000431,DL500431,DL500431,MEMBER-432,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,814,https://example.com/loan/432
433,24250.03, 60 months,10.42%,A,A3,48116.77,10.13,MORTGAGE,CA,small_business,Fully Paid,2,0,NA,39.1%,5,16,Not Verified,May-16,100000432,100000432,100000432,900000432,DL500432,DL500432,MEMBER-433,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,196,https://example.com/loan/433
434,32205.5, 60 months,21.61%,G,G3,107017.91,2.49,MORTGAGE,OH,educational,Current,2,2,0,6.36%,27,36,Verified,Sep-14,100000433,100000433,100000433,900000433,DL500433,DL500433,MEMBER-434,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,491,https://example.com/loan/434
435,18947.16, 60 months,20.65%,C,C1,60324.14,21.61,OTHER,OH,wedding,Fully Paid,3,2,NA,29.89%,6,10,Source Verified,Nov-12,100000434,100000434,100000434,900000434,DL500434,DL500434,MEMBER-435,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,217,https://example.com/loan/435
436,33411.53, 36 months,21.82%,C,C2,35156.09,5.86,MORTGAGE,GA,house,Fully Paid,4,2,1,95.91%,22,48,Verified,Feb-09,100000435,100000435,100000435,900000435,DL500435,DL500435,MEMBER-436,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,675,https://example.com/loan/436
437,26355.71, 36 months,13.5%,E,E1,110885.33,5.79,NONE,TX,small_business,Current,2,3,0,35.41%,26,43,Source Verified,Nov-13,100000436,100000436,100000436,900000436,DL500436,DL500436,MEMBER-437,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,259,https://example.com/loan/437
438,1421.45, 36 months,7.4%,D,D2,148372.16,8.37,MORTGAGE,FL,credit_card,Charged Off,2,1,1,7.9%,3,10,Source Verified,Aug-09,100000437,100000437,100000437,900000437,DL500437,DL500437,MEMBER-438,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,100,https://example.com/loan/438
439,1547.92, 60 months,22.55%,E,E3,46533.57,13.21,MORTGAGE,IL,moving,Fully Paid,1,2,2,10.06%,14,25,Verified,Jul-11,100000438,100000438,100000438,900000438,DL500438,DL500438,MEMBER-439,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,534,https://example.com/loan/439
440,5098.13, 60 months,9.51%,D,D4,199380.89,18.63,OWN,TX,educational,Fully Paid,2,1,NA,51.78%,7,14,Source Verified,Jul-14,100000439,100000439,100000439,900000439,DL500439,DL500439,MEMBER-440,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,171,https://example.com/loan/440
441,13703.9, 60 months,8.03%,G,G5,156369.78,20.31,OTHER,NY,home_improvement,Current,1,3,0,3.8%,17,18,Source Verified,Feb-13,100000440,100000440,100000440,900000440,DL500440,DL500440,MEMBER-441,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,414,https://example.com/loan/441
442,16610.27, 36 months,22.29%,B,B5,177969.85,22.15,MORTGAGE,CA,medical,Fully Paid,4,2,NA,74.01%,27,51,Verified,Jul-08,100000441,100000441,100000441,900000441,DL500441,DL500441,MEMBER-442,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,779,https://example.com/loan/442
443,26956.17, 60 months,21.35%,F,F5,100284.84,9.93,RENT,GA,house,Charged Off,3,0,0,6.14%,22,25,Source Verified,May-16,100000442,100000442,100000442,900000442,DL500442,DL500442,MEMBER-443,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,975,https://example.com/loan/443
444,29511.44, 36 months,21.65%,A,A1,35547.46,27.09,NONE,MI,vacation,Fully Paid,4,1,1,56.92%,15,11,Verified,Jan-16,100000443,100000443,100000443,900000443,DL500443,DL500443,MEMBER-444,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,286,https://example.com/loan/444
445,4911.06, 60 months,8.85%,D,D3,77177.25,19.3,NONE,MI,house,Current,0,1,0,79.13%,5,41,Source Verified,Apr-09,100000444,100000444,100000444,900000444,DL500444,DL500444,MEMBER-445,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,662,https://example.com/loan/445
446,16051.06, 36 months,14.57%,F,F1,159567.28,1.7,MORTGAGE,PA,debt_consolidation,Fully Paid,2,0,0,94.84%,10,34,Not Verified,Feb-17,100000445,100000445,100000445,900000445,DL500445,DL500445,MEMBER-446,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,162,https://example.com/loan/446
447,15904.72, 36 months,21.3%,D,D2,170001.48,1.74,OWN,GA,educational,Current,0,0,NA,14.57%,22,14,Not Verified,Jan-14,100000446,100000446,100000446,900000446,DL500446,DL500446,MEMBER-447,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,378,https://example.com/loan/447
448,4633.02, 60 months,24.03%,G,G3,170521.54,12.0,RENT,IL,other,Current,4,3,2,71.84%,9,13,Not Verified,Dec-13,100000447,100000447,100000447,900000447,DL500447,DL500447,MEMBER-448,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,885,https://example.com/loan/448
449,16784.52, 36 months,24.11%,C,C2,183470.35,20.32,OWN,MI,educational,Charged Off,2,3,1,66.3%,10,44,Not Verified,Sep-14,100000448,100000448,100000448,900000448,DL500448,DL500448,MEMBER-449,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,677,https://example.com/loan/449
450,28827.7, 36 months,18.58%,F,F4,128741.51,16.77,OWN,NY,small_business,Charged Off,0,3,2,31.17%,20,23,Not Verified,Jun-16,100000449,100000449,100000449,900000449,DL500449,DL500449,MEMBER-450,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,430,https://example.com/loan/450
451,20769.28, 36 months,10.57%,B,B2,148267.29,12.67,OWN,FL,wedding,Charged Off,1,3,0,41.61%,17,27,Source Verified,Apr-12,100000450,100000450,100000450,900000450,DL500450,DL500450,MEMBER-451,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,309,https://example.com/loan/451
452,13998.1, 36 months,20.06%,A,A4,108132.35,20.83,NONE,IL,debt_consolidation,Fully Paid,4,0,1,86.17%,30,30,Source Verified,Aug-18,100000451,100000451,100000451,900000451,DL500451,DL500451,MEMBER-452,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,295,https://example.com/loan/452
453,8225.26, 60 months,9.82%,D,D3,78141.49,0.96,MORTGAGE,FL,other,Current,2,0,NA,70.79%,15,57,Verified,Jan-16,100000452,100000452,100000452,900000452,DL500452,DL500452,MEMBER-453,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,825,https://example.com/loan/453
454,20865.96, 60 months,12.11%,F,F5,70890.93,16.78,MORTGAGE,OH,home_improvement,Fully Paid,4,1,0,60.96%,23,28,Verified,Jan-17,100000453,100000453,100000453,900000453,DL500453,DL500453,MEMBER-454,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,721,https://example.com/loan/454
455,29823.63, 60 months,21.78%,D,D3,45286.38,24.84,MORTGAGE,TX,educational,Current,2,3,1,51.69%,11,56,Source Verified,Feb-14,100000454,100000454,100000454,900000454,DL500454,DL500454,MEMBER-455,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,936,https://example.com/loan/455
456,11300.61, 60 months,7.45%,G,G3,185719.25,2.58,MORTGAGE,NY,small_business,Current,3,2,NA,11.16%,3,2,Source Verified,Mar-08,100000455,100000455,100000455,900000455,DL500455,DL500455,MEMBER-456,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,873,https://example.com/loan/456
457,31396.59, 60 months,15.58%,A,A2,135731.0,21.53,OTHER,PA,moving,Fully Paid,2,0,NA,35.7%,13,27,Source Verified,Jul-13,100000456,100000456,100000456,900000456,DL500456,DL500456,MEMBER-457,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,142,https://example.com/loan/457
458,2439.94, 36 months,23.0%,D,D1,40328.29,23.57,OWN,IL,renewable_energy,Fully Paid,0,0,2,44.75%,17,9,Verified,Feb-12,100000457,100000457,100000457,900000457,DL500457,DL500457,MEMBER-458,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,218,https://example.com/loan/458
459,13610.21, 60 months,21.09%,B,B2,41204.27,10.67,OWN,GA,home_improvement,Fully Paid,1,1,2,86.27%,20,19,Not Verified,Sep-18,100000458,100000458,100000458,900000458,DL500458,DL500458,MEMBER-459,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,444,https://example.com/loan/459
460,6379.07, 36 months,15.25%,F,F1,67645.44,8.33,OTHER,PA,other,Fully Paid,1,3,1,48.7%,2,21,Source Verified,Jul-09,100000459,100000459,100000459,900000459,DL500459,DL500459,MEMBER-460,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,282,https://example.com/loan/460
461,7268.5, 60 months,6.15%,B,B2,51512.97,5.63,RENT,CA,vacation,Current,0,0,NA,34.34%,14,2,Source Verified,May-15,100000460,100000460,100000460,900000460,DL500460,DL500460,MEMBER-461,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,493,https://example.com/loan/461
462,30018.81, 36 months,9.69%,F,F1,74798.08,19.38,MORTGAGE,NY,home_improvement,Fully Paid,3,3,NA,11.92%,14,21,Source Verified,Jan-09,100000461,100000461,100000461,900000461,DL500461,DL500461,MEMBER-462,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,163,https://example.com/loan/462
463,18029.59, 36 months,23.99%,B,B3,21816.95,25.85,MORTGAGE,OH,other,Fully Paid,0,2,1,28.99%,5,15,Source Verified,Aug-17,100000462,100000462,100000462,900000462,DL500462,DL500462,MEMBER-463,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,810,https://example.com/loan/463
464,32160.86, 36 months,12.21%,G,G4,121419.05,5.04,OTHER,IL,credit_card,Fully Paid,2,1,2,55.59%,16,7,Verified,Feb-11,100000463,100000463,100000463,900000463,DL500463,DL500463,MEMBER-464,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,103,https://example.com/loan/464
465,6190.03, 36 months,12.67%,A,A4,143285.48,19.25,OWN,GA,house,Fully Paid,1,0,NA,73.39%,30,36,Not Verified,Jun-13,100000464,100000464,100000464,900000464,DL500464,DL500464,MEMBER-465,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,865,https://example.com/loan/465
466,24625.6, 60 months,21.12%,D,D5,27276.17,28.61,NONE,OH,debt_consolidation,Current,2,2,NA,40.76%,5,41,Source Verified,Mar-11,100000465,100000465,100000465,900000465,DL500465,DL500465,MEMBER-466,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,905,https://example.com/loan/466
467,2226.41, 36 months,8.72%,A,A1,50742.89,26.88,MORTGAGE,GA,vacation,Fully Paid,3,0,NA,94.58%,29,55,Not Verified,Jun-14,100000466,100000466,100000466,900000466,DL500466,DL500466,MEMBER-467,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,667,https://example.com/loan/467
468,20201.44, 36 months,13.26%,B,B5,199255.89,20.72,NONE,OH,small_business,Current,0,0,0,30.06%,15,6,Not Verified,Oct-11,100000467,100000467,100000467,900000467,DL500467,DL500467,MEMBER-468,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,275,https://example.com/loan/468
469,4776.37, 60 months,14.47%,D,D3,187493.43,14.01,MORTGAGE,NC,wedding,Fully Paid,3,3,NA,64.43%,25,48,Source Verified,Mar-09,100000468,100000468,100000468,900000468,DL500468,DL500468,MEMBER-469,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,927,https://example.com/loan/469
470,5638.79, 60 months,13.55%,B,B3,68096.09,13.29,OWN,GA,small_business,Current,1,3,NA,18.81%,25,22,Not Verified,Dec-18,100000469,100000469,100000469,900000469,DL500469,DL500469,MEMBER-470,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,474,https://example.com/loan/470
471,2841.36, 36 months,19.84%,A,A3,146402.91,13.13,NONE,PA,credit_card,Current,1,0,0,88.02%,10,23,Verified,Mar-15,100000470,100000470,100000470,900000470,DL500470,DL500470,MEMBER-471,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,507,https://example.com/loan/471
472,10482.02, 60 months,22.45%,G,G1,175989.84,28.05,OTHER,OH,major_purchase,Fully Paid,0,1,1,40.91%,10,54,Verified,Jun-12,100000471,100000471,100000471,900000471,DL500471,DL500471,MEMBER-472,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,229,https://example.com/loan/472
473,12808.91, 60 months,14.51%,F,F1,169848.87,1.42,RENT,CA,small_business,Current,4,1,2,57.02%,1,7,Source Verified,Feb-15,100000472,100000472,100000472,900000472,DL500472,DL500472,MEMBER-473,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,141,https://example.com/loan/473
474,28860.64, 60 months,16.65%,E,E5,115455.24,4.74,OWN,NY,credit_card,Charged Off,2,2,NA,0.13%,21,41,Verified,Jan-13,100000473,100000473,100000473,900000473,DL500473,DL500473,MEMBER-474,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,817,https://example.com/loan/474
475,17251.8, 60 months,11.68%,G,G5,48068.26,25.63,NONE,CA,credit_card,Fully Paid,3,3,NA,21.89%,6,37,Not Verified,Jun-18,100000474,100000474,100000474,900000474,DL500474,DL500474,MEMBER-475,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,851,https://example.com/loan/475
476,21519.6, 36 months,22.88%,F,F3,58859.02,1.02,RENT,GA,major_purchase,Fully Paid,3,3,NA,25.21%,12,54,Source Verified,Jul-10,100000475,100000475,100000475,900000475,DL500475,DL500475,MEMBER-476,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,257,https://example.com/loan/476
477,15637.44, 36 months,18.16%,B,B4,168631.0,28.41,MORTGAGE,CA,house,Current,2,3,NA,46.66%,14,43,Not Verified,Sep-18,100000476,100000476,100000476,900000476,DL500476,DL500476,MEMBER-477,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,229,https://example.com/loan/477
478,30411.72, 60 months,12.4%,E,E1,21462.67,1.11,OWN,NC,major_purchase,Charged Off,4,2,NA,93.91%,28,35,Source Verified,Nov-18,100000477,100000477,100000477,900000477,DL500477,DL500477,MEMBER-478,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,614,https://example.com/loan/478
479,2591.16, 36 months,15.99%,F,F3,72447.46,6.05,NONE,MI,other,Current,2,3,1,39.36%,16,18,Not Verified,Jan-08,100000478,100000478,100000478,900000478,DL500478,DL500478,MEMBER-479,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,496,https://example.com/loan/479
480,23887.72, 60 months,7.55%,F,F4,148928.18,6.96,RENT,CA,vacation,Charged Off,3,1,0,1.3%,30,48,Source Verified,Oct-13,100000479,100000479,100000479,900000479,DL500479,DL500479,MEMBER-480,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,943,https://example.com/loan/480
481,15597.33, 36 months,16.41%,B,B4,77669.33,9.21,MORTGAGE,OH,medical,Charged Off,2,2,2,54.16%,28,35,Verified,Nov-13,100000480,100000480,100000480,900000480,DL500480,DL500480,MEMBER-481,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,337,https://example.com/loan/481
482,25139.49, 36 months,20.14%,D,D2,75322.76,14.5,NONE,OH,renewable_energy,Current,2,1,NA,11.16%,20,4,Not Verified,Jan-15,100000481,100000481,100000481,900000481,DL500481,DL500481,MEMBER-482,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,497,https://example.com/loan/482
483,30065.81, 36 months,14.54%,C,C2,119531.21,28.29,OTHER,IL,home_improvement,Fully Paid,3,1,2,26.22%,21,45,Verified,Sep-13,100000482,100000482,100000482,900000482,DL500482,DL500482,MEMBER-483,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,686,https://example.com/loan/483
484,7144.49, 36 months,11.14%,G,G2,125784.79,13.01,RENT,CA,small_business,Fully Paid,3,1,1,56.38%,4,31,Source Verified,Apr-15,100000483,100000483,100000483,900000483,DL500483,DL500483,MEMBER-484,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,166,https://example.com/loan/484
485,33289.91, 60 months,14.89%,B,B2,108983.85,24.9,NONE,OH,wedding,Fully Paid,4,0,1,56.83%,9,8,Not Verified,Aug-12,100000484,100000484,100000484,900000484,DL500484,DL500484,MEMBER-485,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,769,https://example.com/loan/485
486,34189.79, 60 months,19.49%,G,G2,145530.94,0.06,RENT,NY,other,Fully Paid,1,3,0,5.62%,14,28,Not Verified,Dec-11,100000485,100000485,100000485,900000485,DL500485,DL500485,MEMBER-486,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,246,https://example.com/loan/486
487,9412.34, 60 months,19.83%,B,B1,154400.44,15.36,RENT,IL,vacation,Current,0,0,1,35.3%,27,50,Not Verified,Oct-15,100000486,100000486,100000486,900000486,DL500486,DL500486,MEMBER-487,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,416,https://example.com/loan/487
488,16802.73, 36 months,20.47%,C,C3,195434.14,7.61,RENT,NY,vacation,Charged Off,0,0,0,92.9%,5,5,Not Verified,May-10,100000487,100000487,100000487,900000487,DL500487,DL500487,MEMBER-488,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,327,https://example.com/loan/488
489,23118.6, 36 months,18.28%,B,B4,190950.28,11.77,RENT,CA,house,Fully Paid,2,0,1,42.12%,17,60,Verified,Feb-08,100000488,100000488,100000488,900000488,DL500488,DL500488,MEMBER-489,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,349,https://example.com/loan/489
490,12272.21, 60 months,14.96%,F,F4,191853.78,3.09,RENT,FL,other,Charged Off,4,2,1,70.31%,2,32,Verified,Sep-18,100000489,100000489,100000489,900000489,DL500489,DL500489,MEMBER-490,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,530,https://example.com/loan/490
491,6136.02, 60 months,6.35%,E,E4,147574.86,18.53,RENT,TX,vacation,Current,2,3,0,67.34%,11,42,Not Verified,Mar-16,100000490,100000490,100000490,900000490,DL500490,DL500490,MEMBER-491,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,732,https://example.com/loan/491
492,16892.7, 36 months,11.25%,D,D5,141109.86,10.34,OTHER,FL,major_purchase,Fully Paid,0,3,1,28.84%,4,16,Source Verified,Jun-11,100000491,100000491,100000491,900000491,DL500491,DL500491,MEMBER-492,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,363,https://example.com/loan/492
493,1633.9, 60 months,12.2%,D,D2,137540.17,5.37,MORTGAGE,OH,other,Current,1,3,2,66.24%,19,2,Source Verified,Jul-15,100000492,100000492,100000492,900000492,DL500492,DL500492,MEMBER-493,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,496,https://example.com/loan/493
494,4901.02, 36 months,16.47%,C,C1,157173.57,24.46,OWN,OH,wedding,Fully Paid,2,0,0,91.79%,24,30,Source Verified,Apr-14,100000493,100000493,100000493,900000493,DL500493,DL500493,MEMBER-494,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,242,https://example.com/loan/494
495,17821.1, 60 months,24.38%,E,E3,105493.76,2.49,MORTGAGE,PA,moving,Charged Off,4,0,0,36.96%,30,39,Verified,Aug-16,100000494,100000494,100000494,900000494,DL500494,DL500494,MEMBER-495,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,865,https://example.com/loan/495
496,10579.85, 60 months,5.71%,E,E1,35182.52,29.04,OTHER,CA,moving,Fully Paid,3,2,2,91.62%,4,34,Verified,Oct-09,100000495,100000495,100000495,900000495,DL500495,DL500495,MEMBER-496,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,557,https://example.com/loan/496
497,14194.42, 60 months,17.5%,F,F4,119493.94,23.03,OTHER,IL,credit_card,Current,2,3,1,53.19%,19,55,Not Verified,Jan-17,100000496,100000496,100000496,900000496,DL500496,DL500496,MEMBER-497,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,563,https://example.com/loan/497
498,6720.23, 60 months,6.22%,B,B2,32297.01,23.56,RENT,FL,wedding,Fully Paid,2,2,NA,39.27%,13,17,Not Verified,May-12,100000497,100000497,100000497,900000497,DL500497,DL500497,MEMBER-498,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,878,https://example.com/loan/498
499,2220.97, 60 months,18.32%,C,C1,178558.8,26.97,NONE,GA,vacation,Fully Paid,0,0,1,51.71%,10,19,Source Verified,Oct-18,100000498,100000498,100000498,900000498,DL500498,DL500498,MEMBER-499,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,592,https://example.com/loan/499
500,28902.71, 36 months,11.45%,A,A5,87286.29,19.1,MORTGAGE,NC,house,Fully Paid,2,2,NA,72.73%,18,50,Verified,Feb-09,100000499,100000499,100000499,900000499,DL500499,DL500499,MEMBER-500,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,664,https://example.com/loan/500
501,30061.55, 36 months,7.2%,A,A2,64750.7,14.88,NONE,PA,wedding,Current,0,1,NA,47.03%,16,6,Source Verified,Feb-18,100000500,100000500,100000500,900000500,DL500500,DL500500,MEMBER-501,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,841,https://example.com/loan/501
502,29986.58, 36 months,13.98%,A,A4,57593.01,22.74,OWN,OH,debt_consolidation,Fully Paid,2,3,NA,97.43%,6,25,Source Verified,Dec-12,100000501,100000501,100000501,900000501,DL500501,DL500501,MEMBER-502,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,382,https://example.com/loan/502
503,16136.28, 60 months,22.02%,B,B5,183883.87,15.73,OTHER,CA,wedding,Fully Paid,1,2,1,37.07%,23,38,Verified,Jul-09,100000502,100000502,100000502,900000502,DL500502,DL500502,MEMBER-503,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,832,https://example.com/loan/503
504,11257.7, 60 months,21.78%,B,B5,131407.55,26.0,OTHER,FL,small_business,Charged Off,0,0,1,24.08%,26,25,Not Verified,Nov-18,100000503,100000503,100000503,900000503,DL500503,DL500503,MEMBER-504,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,885,https://example.com/loan/504
505,7871.73, 60 months,8.54%,G,G2,159388.99,11.5,OWN,NC,wedding,Fully Paid,3,0,0,19.7%,27,38,Source Verified,Jan-10,100000504,100000504,100000504,900000504,DL500504,DL500504,MEMBER-505,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,115,https://example.com/loan/505
506,17812.37, 60 months,18.11%,F,F3,118004.65,6.84,OTHER,OH,wedding,Fully Paid,1,0,NA,71.52%,11,6,Not Verified,Sep-15,100000505,100000505,100000505,900000505,DL500505,DL500505,MEMBER-506,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,183,https://example.com/loan/506
507,26084.75, 36 months,9.28%,E,E1,79745.83,28.16,RENT,CA,renewable_energy,Charged Off,2,0,2,60.56%,27,6,Not Verified,Nov-08,100000506,100000506,100000506,900000506,DL500506,DL500506,MEMBER-507,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,537,https://example.com/loan/507
508,12202.82, 60 months,11.75%,B,B1,65768.18,22.8,OTHER,TX,major_purchase,Fully Paid,4,3,NA,56.08%,19,51,Source Verified,Feb-10,100000507,100000507,100000507,900000507,DL500507,DL500507,MEMBER-508,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,708,https://example.com/loan/508
509,12233.95, 60 months,21.96%,E,E1,90794.56,28.73,OWN,PA,renewable_energy,Fully Paid,1,2,1,82.05%,1,18,Not Verified,Apr-17,100000508,100000508,100000508,900000508,DL500508,DL500508,MEMBER-509,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,591,https://example.com/loan/509
510,19197.15, 36 months,12.09%,C,C1,176910.94,18.64,OTHER,NC,debt_consolidation,Fully Paid,2,2,1,66.36%,25,39,Source Verified,Nov-18,100000509,100000509,100000509,900000509,DL500509,DL500509,MEMBER-510,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,514,https://example.com/loan/510
511,26161.48, 60 months,9.26%,E,E3,96014.02,3.89,RENT,GA,wedding,Charged Off,0,3,NA,77.79%,22,8,Not Verified,Oct-14,100000510,100000510,100000510,900000510,DL500510,DL500510,MEMBER-511,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,572,https://example.com/loan/511
512,30643.11, 60 months,13.21%,A,A1,122201.39,7.74,OWN,GA,wedding,Fully Paid,1,1,0,89.86%,29,50,Source Verified,Jan-13,100000511,100000511,100000511,900000511,DL500511,DL500511,MEMBER-512,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,479,https://example.com/loan/512
513,3387.16, 36 months,11.97%,A,A5,177691.98,29.23,OWN,NY,wedding,Fully Paid,4,3,NA,89.81%,18,44,Verified,Feb-13,100000512,100000512,100000512,900000512,DL500512,DL500512,MEMBER-513,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,846,https://example.com/loan/513
514,26154.84, 60 months,18.16%,E,E4,38176.19,15.36,OWN,CA,car,Fully Paid,2,2,1,93.83%,18,47,Source Verified,Feb-16,100000513,100000513,100000513,900000513,DL500513,DL500513,MEMBER-514,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,303,https://example.com/loan/514
515,5821.05, 60 months,16.34%,C,C1,199159.98,19.42,RENT,TX,car,Fully Paid,3,1,NA,61.39%,28,51,Source Verified,Feb-14,100000514,100000514,100000514,900000514,DL500514,DL500514,MEMBER-515,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,267,https://example.com/loan/515
516,30210.16, 36 months,9.76%,B,B2,48332.26,8.67,OTHER,NC,house,Current,3,0,1,51.58%,4,22,Not Verified,Jan-16,100000515,100000515,100000515,900000515,DL500515,DL500515,MEMBER-516,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,592,https://example.com/loan/516
517,9464.64, 60 months,17.88%,E,E4,47654.27,27.04,OWN,TX,house,Fully Paid,1,3,2,6.9%,9,41,Source Verified,May-14,100000516,100000516,100000516,900000516,DL500516,DL500516,MEMBER-517,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,752,https://example.com/loan/517
